Year,Movie Title
2000,102 Dalmatians
2000,28 Days 
2000,3 Strikes 
2000,The 6th Day
2000,Across the Line 
2000,Adventures in Wild California
2000,The Adventures of Rocky and Bullwinkle 
2000,All the Pretty Horses 
2000,Almost Famous
2000,American Psycho 
2000,Animal Factory
2000,The Art of War 
2000,Autumn in New York 
2000,Bait 
2000,The Ballad of Ramblin' Jack (page does not exist)
2000,Bamboozled
2000,Battlefield Earth 
2000,The Beach 
2000,Beat 
2000,Beautiful 
2000,Beautiful Joe 
2000,Bedazzled 
2000,Before Night Falls 
2000,Best in Show 
2000,Big Momma's House
2000,The Big Tease
2000,Bless the Child
2000,Boiler Room 
2000,Book of Shadows: Blair Witch 2
2000,Bounce 
2000,Boys and Girls 
2000,Bring It On 
2000,The Broken Hearts Club: A Romantic Comedy
2000,Brother 
2000,Cast Away
2000,Cecil B. Demented
2000,The Cell 
2000,Center Stage 
2000,Charlie's Angels 
2000,Cherry Falls
2000,Chinese Coffee
2000,Chocolat 
2000,A Chronicle of Corpses
2000,Chuck & Buck
2000,The Contender 
2000,Coyote Ugly 
2000,"Crouching Tiger, Hidden Dragon"
2000,The Crew 
2000,The Crossing 
2000,Dancer in the Dark
2000,Digimon: The Movie
2000,Dinosaur 
2000,Down to You
2000,Dr. T & the Women
2000,Dracula 2000
2000,Drowning Mona
2000,"Dude, Where's My Car?"
2000,Duets 
2000,Dungeons & Dragons 
2000,The Emperor's New Groove
2000,Erin Brockovich 
2000,An Everlasting Piece
2000,The Eyes of Tammy Faye 
2000,Fail Safe 
2000,The Fantasticks 
2000,The Family Man
2000,Final Destination
2000,Finding Forrester
2000,The Flintstones in Viva Rock Vegas
2000,For Love or Country: The Arturo Sandoval Story
2000,Frequency 
2000,Get Carter 
2000,The Gift 
2000,The Girl 
2000,Girlfight
2000,Gladiator 
2000,The Golden Bowl 
2000,Gone in 60 Seconds 
2000,Gossip (2000 American film)
2000,Gun Shy 
2000,Hamlet 
2000,Hanging Up
2000,Held Up
2000,Here on Earth 
2000,ar:هاللو أمريكا (فيلم)
2000,High Fidelity 
2000,Highlander: Endgame
2000,Hollow Man
2000,The House of Mirth 
2000,Dr. Seuss' How the Grinch Stole Christmas 
2000,How to Kill Your Neighbor's Dog
2000,I Dreamed of Africa
2000,Icebreaker 
2000,The In Crowd 
2000,Into the Arms of Strangers: Stories of the Kindertransport
2000,Isn't She Great
2000,Ivans Xtc
2000,Joe Gould's Secret 
2000,Just One Night 
2000,Keeping the Faith
2000,Disney's The Kid 
2000,The Ladies Man 
2000,The Last Producer
2000,Legacy 
2000,The Legend of Bagger Vance
2000,Little Nicky
2000,The Little Vampire 
2000,Long Night's Journey into Day
2000,Loser 
2000,Lost Souls 
2000,Love & Basketball
2000,Lucky Numbers
2000,Maryam (2002 film)
2000,Maze 
2000,"Me, Myself & Irene"
2000,Meet the Parents
2000,Memento 
2000,Men of Honor
2000,Mercy Streets
2000,The Million Dollar Hotel
2000,Miss Congeniality 
2000,Mission to Mars
2000,Mission: Impossible 2
2000,My Dog Skip 
2000,My 5 Wives
2000,The Next Best Thing
2000,Next Friday
2000,Nothin' 2 Lose
2000,Nutty Professor II: The Klumps
2000,Nurse Betty
2000,"O Brother, Where Art Thou?"
2000,The Opportunists
2000,The Original Kings of Comedy
2000,Our Song 
2000,Panic 
2000,Passion of Mind
2000,The Patriot 
2000,Pay It Forward 
2000,The Perfect Storm 
2000,Picking Up the Pieces 
2000,Pitch Black 
2000,Pollock 
2000,Poor White Trash 
2000,Price of Glory
2000,Prince of Central Park
2000,Proof of Life
2000,Psycho Beach Party
2000,Quills 
2000,Ready to Rumble
2000,Reckless Indifference (page does not exist)
2000,Red Planet 
2000,Reindeer Games
2000,Remember the Titans
2000,The Replacements 
2000,Requiem for a Dream
2000,Return to Me
2000,The Road to El Dorado
2000,Road Trip 
2000,Romeo Must Die
2000,Rugrats in Paris: The Movie
2000,Rules of Engagement 
2000,A Rumor of Angels
2000,The Scarecrow 
2000,Scary Movie
2000,Scottsboro: An American Tragedy
2000,Scream 3
2000,Screwed 
2000,Seventeen Again
2000,Sexy Beast
2000,Shadow of the Vampire
2000,Shaft 
2000,Shanghai Noon
2000,Shriek If You Know What I Did Last Friday the Thirteenth
2000,The Skulls 
2000,Small Time Crooks
2000,The Smokers 
2000,Snatch 
2000,Snow Day 
2000,Songcatcher
2000,Sound and Fury 
2000,Space Cowboys
2000,The Specials 
2000,Steal This Movie!
2000,Supernova 
2000,The Tao of Steve
2000,Terror Tract
2000,Things You Can Tell Just by Looking at Her
2000,Thirteen Days 
2000,Thomas & the Magic Railroad
2000,Tigerland
2000,The Tigger Movie
2000,Timecode 
2000,Titan A.E.
2000,Traffic 
2000,Tripfall
2000,Turn It Up 
2000,U-571 
2000,Unbreakable 
2000,Under Suspicion 
2000,Up at the Villa 
2000,Urban Legends: Final Cut
2000,Vertical Limit
2000,The Visit 
2000,Waking the Dead 
2000,The Watcher 
2000,The Way of the Gun
2000,Whatever It Takes 
2000,What Lies Beneath
2000,What Planet Are You From?
2000,What Women Want
2000,Where the Heart Is 
2000,Where the Money Is
2000,Whipped 
2000,The Whole Nine Yards 
2000,Woman on Top
2000,Wonder Boys 
2000,X-Men 
2000,The Yards
2000,You Can Count on Me
2001,15 Minutes
2001,3 A.M. 
2001,3000 Miles to Graceland
2001,61*
2001,A.I. Artificial Intelligence
2001,The Affair of the Necklace
2001,After the Storm 
2001,Ali 
2001,All Over the Guy
2001,Along Came a Spider 
2001,The Amati Girls
2001,America's Sweethearts
2001,The American Astronaut
2001,American Outlaws 
2001,American Pie 2
2001,An American Rhapsody
2001,Amy's Orgasm
2001,Angel Eyes 
2001,The Animal
2001,The Anniversary Party
2001,Antitrust 
2001,Atlantis: The Lost Empire
2001,August Underground
2001,Baby Boy 
2001,Bandits 
2001,Bartleby 
2001,A Beautiful Mind 
2001,Behind Enemy Lines 
2001,The Believer 
2001,Big Bad Love
2001,Black Hawk Down 
2001,Black Knight 
2001,Blow 
2001,Bones 
2001,Boom: The Sound of Eviction (page does not exist)
2001,A Boy Named Sue 
2001,Brian's Song 
2001,The Brothers 
2001,Bubble Boy 
2001,Buffalo Soldiers 
2001,Bully 
2001,The Business of Strangers
2001,Call Me Claus
2001,Camouflage  (page does not exist)
2001,Captain Corelli's Mandolin 
2001,The Cat's Meow
2001,Cats & Dogs
2001,The Caveman's Valentine
2001,The Center of the World
2001,A Chronicle of Corpses
2001,Corky Romano
2001,CQ 
2001,Crazy/Beautiful
2001,Crocodile Dundee in Los Angeles
2001,Cruel Intentions 2
2001,The Curse of the Jade Scorpion
2001,The Deep End 
2001,Delivering Milo
2001,Den 
2001,Dogtown and Z-Boys
2001,Domestic Disturbance
2001,Don't Say a Word
2001,Donnie Darko
2001,Double Take 
2001,Down to Earth 
2001,Dr. Dolittle 2
2001,Driven 
2001,Craig Clyde
2001,Earth vs. the Spider
2001,Elvira's Haunted Hills
2001,Enemy at the Gates
2001,Escape from Hell 
2001,Evolution 
2001,Exit Wounds
2001,The Fast and the Furious 
2001,Festival in Cannes
2001,Final Fantasy: The Spirits Within
2001,Finder's Fee
2001,The Fluffer
2001,The Forsaken 
2001,Frailty 
2001,Freddy Got Fingered
2001,From Hell 
2001,Full Frontal 
2001,Get Over It 
2001,Ghost World 
2001,Ghosts of Mars
