year,film,producer,winner,movie,formatted_name,top_critics,_merge
2010, The King's Speech ," Iain Canning, Emile Sherman, and Gareth Unwin ",1, The King's Speech ,the_kings_speech,"['Firth strikes a perfect balance between his abrasive traits and the vulnerability that coaxes our empathy. ', 'Travel without prejudice and you will enjoy a moving, impeccably acted and surprisingly funny slice of comfort food. There are worse ways of starting an unpromising looking year.', ""It's an uplifting audience pleaser that also showcases film-making arts and crafts at an exalted level."", ""The King's Speech is a joy, and I adore it."", ""The film is richly rooted, with splendid trappings, including pea-soup fogs. For all the pomp and protocol, it's an intimate story about a scared man who must find his voice if he is to rise, in regal stature, above his epaulets."", 'Hooper...has become something of a specialist in exhuming British history from the mothballs of Masterpiece Theatre.', 'A polite, occasionally rousing, and more often than not, boring affair.', 'A charming, personal period drama.', ""A powerful back story does not necessarily improve a movie, but The King's Speech has a pretty irresistible one. It might even end with a dramatic night at the Oscars in February."", 'Classic, rousing entertainment loaded with both humor and poignancy.', ""The King's Speech is the rare work of art that's also an immense crowdpleaser."", 'Too ingratiating to resonate deeply.', ""The King's Speech is admirably free of easy answers and simple, happy endings; it's a skewed, awards-ready version of history, but one polished to a fine, satisfying shine."", ""The King's Speech is simultaneously cozy and majestic."", ""The King's Speech is the epitome of prestige cinema, an impeccably crafted and emotionally compelling drama that deserves the many laurels it surely will receive."", ""It's the sort of thing we do awf'ly well."", 'Although he plays up the odd-couple comedy, Hooper knows how to bring out the anguish behind the humour.', ""The true-life story of a king's efforts to overcome his stammer in order to face his public, constructed like a contemporary makeover narrative."", 'Not just one of the most entertaining British films in years, but one of the most intriguing, too.', ""By the film's end I was in tears: a pathetic critic-thing whimpering in the half-dark, knocked into resistlessness by the power of storytelling.""]",both
2010, Black Swan ,"Scott Franklin, Mike Medavoy, and Brian Oliver",0, Black Swan ,black_swan_2010,"[""What were they trying to say? What happened?... You're all pretending you know what it means."", 'The impeccable casting adds an elevated element of reality to a film that already hits so close to home.', ""This is part horror, part thriller, part Freudian nightmare and not a pretty film, as I said, nor an easy watch, but it's so unexpected and out there and passionate it keeps you with it and involved all the way."", ""Director Darren Aronofsky's darkly enthralling entertainment makes the perfect antidote to too many sugary holiday Nutcrackers."", ""By the end, Nina's quest for perfection-and Portman's blazing performance-will leave you breathless."", ""Audiences won't know who to trust and what is real in this terrifyingly great film that will grab hold of you until the final act."", ""For all his command of adrenalized, propulsive narrative and his dazzling technical facility, Aronofsky's study in female hysteria ultimately favors frenzy over compassion or insight-and remains strictly skin-deep."", ""Portman hasn't been this good since her early performances in The Professional and Heat, and is deservedly attracting intense Oscar buzz. Kunis brings to Lily a savvy sexiness, and Cassel is entertainingly smarmy."", 'An exercise in the higher kitsch, a slick, pretentious film in which the polished surface is a distorting mirror.', ""It is compelling viewing, aided enormously by Portman's extraordinarily subtle and emotionally authentic performance."", ""A ballet melodrama in which it isn't just the body that is threatened with disintegration, but the mind too."", 'Full of sex, drugs, catfights, violence, hallucinations and even some choice girl-on-girl action. What more could you possibly want from a ballet movie?', ""Fantastically deranged at all times, Darren Aronofsky's ballet psycho-melodrama is a glittering, crackling, outrageously pickable scab of a film."", 'The film is lurid, melodramatic, over-the-top - and currently a hot awards favourite. Aronofsky must have hypnotic powers over jurors and voters.', ""With repeat viewings, the thematic subtext slips into focus and the performances take on a new significance. It's not vintage Aronofsky, but it's still a tour de force."", ""An extraordinary, intoxicating movie. Its hard, twisted edges may turn off some, but there's no faulting either Aronofsky's technical mastery or Portman's flawless performance."", 'A bona fide, trumpet-it-from-the-chimney-pots masterpiece that ALSO happens to be a terrific psychological thriller AND features Meg from Family Guy copping off with Queen Amidala.', ""Practice makes perfectly insane in Black Swan, a tale of one ballerina's psychosexual freakout."", 'Aronofsky lets us thrill in the in the act of creation without ever letting us forget the terrible sacrifices many artists make to entertain us.', 'Portman, saddled with the near-impossible role of an impenetrable heroine we must care for without ever coming close to understanding, delivers career-high work here...']",both
2010, The Fighter ,"David Hoberman, Todd Lieberman, and Mark Wahlberg",0, The Fighter ,the_fighter_mard_no_1,[],both
2010, Inception ,Christopher Nolan and Emma Thomas,0, Inception ,inception,"[""Inception engaged on a mainly intellectually level, but that isn't to say that film didn't pack an emotional impact."", 'Inception is an intriguing, frustrating film, but ultimately satisfying.', 'This endlessly fascinating swirl of a film could have come only from Nolan, who blends the cerebral twistiness of Memento (his thriller that moves backward in time) with the spectacular action of his Batman megahit, The Dark Knight.', ""Awesome doesn't even begin to describe the sleek, clever, mind-blowing madness that is director Christopher Nolan's aptly titled psychological (read: trippy) thriller Inception."", ""A spectacular fantasy thriller based on Nolan's own original screenplay, Inception is the smartest CGI head-trip since The Matrix."", ""Invention runs lower once we're on those snowy slopes, and the hard narrative punch keeps disintegrating into a floating cloud of pixels. But what a display they make."", ""The film's imaginative freefall is ruinously anchored to a bogus sense of deep feeling."", ""We can only marvel at what writer-director Nolan has thought up and executed so well. But he doesn't know when to stop. Every level leads to another level."", ""Inception is the kind of information-packed movie that creates the painful/pleasurable sensation that there's no time to think."", ""Inception isn't a dud but nor is it a masterpiece. It's like a very ambitious, overlong potboiler: visually beautiful, ingenious in parts and dragging in others."", 'Inception is a grown-up thriller ride through the dreamscapes of the mind, with Leonardo DiCaprio in the lead. The movie is a sign that Hollywood retains some intellectual oomph.', 'The real cause of wonder, though, is why Nolan should have embraced technocratic complexity in the service of such a puny story.', ""If it's the dreamer whose subconscious fills in the details, as the film claims, why the absence of silliness, sex, horror and general abandon?"", 'A heist film of thrilling, almost delirious complexity.', ""Even as you tick off the film's overload of references, though -- a Matrix here, a James Bond there -- the amazing effects and Cobb's quest carry you along."", ""It's one thing to simply make up a story, but it's another to come up with a scenario and actually make it feel real and that's exactly what Nolan achieves here."", ""An always-tense, extremely suspenseful sci-fi action film that respects a viewer's intelligence."", 'Intelligent and imaginative Inception is eye bending and mind bending in equal measures.', 'Nolan is having the time of his life in his own personal playground and, for all its heavy technical and narrative machinery, Inception remains one of his lightest films.', 'It is irritating for an hour, being so gloomily lit that you need fog lights, then it opens up into a marvellously inventive, somewhat silly but enjoyable heist movie, with a good cast doing things I doubt even they could explain.']",both
2010, The Kids Are All Right ,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray",0, The Kids Are All Right ,10012141-kids_are_all_right,"['Say what you will about Lisa Cholodenko, but she and co-writer Stuart Blumberg deserve some major Kudos (the good kind with the chocolate chips) for writing these incredible female characters.', 'Together the performances mark the perfect recipe in a beautifully written story is both funny in the most surprising parts and touching when it needs to be.', 'Its emotional pull remains consistent to the end.', 'A long-form sitcom overly pleased with its own progressiveness.', 'The film joyfully allows us to embrace, rather than escape, the wonderful, awkward embarrassment of familial love.', 'This is a much better made, more persuasive film than The Switch or The Back-Up Plan but just as much about wish fulfilment, and no more honest about conflicts that can leave the kids far from all right.', 'Piercingly funny, subtle and moving.', 'Funny, aching, rueful -- often at the same time -- The Kids Are All Right makes most mainstream releases this year seem decadent by comparison.', 'The film gets better and better, powered by a sharp, wise script and superlative acting.', 'Family-centric comedy has never felt so fresh.', 'A witty portrait of postmodern family life in which script, casting, direction and location all just float together without any apparent effort at all.', ""A witty, warm exploration of family life that's conventional and unconventional in equal measure."", 'The Critics Are All Wrong.', 'The Kids are All Right is funny, touching and honest, all the elements that make independent cinema so much more rewarding, most of the time, than the mainstream.', ""Common to all Cholodenko's films is a fascination with the mayhem that can result when the chronically stitched-up come up against the amoral and fancy-free."", 'Packed with humble family principles. Immensely enjoyable the whole way through and one that delivers values and that warm fuzzy feeling inside to hold on to afterward.', ""Sophisticated and funny, but once you get past the unusual premise and the fact that the main couple is realistically portrayed, there's nothing surprising about it."", ""It's a terrific film."", ""Definitions of family, love and friendship all get put to the test with wit and warmth in The Kids Are All Right, one of the year's most honest and endearing films."", ""It's about the slow, inevitable grind of marriage. It's about the eternally unknowable curveballs life throws at you and how you either step up to the plate toward triumph or turn away in tears or terror or both. It's about love.""]",both
2010, 127 Hours ,"Danny Boyle, John Smithson, and Christian Colson",0, 127 Hours ,127_hours,"[""This may be a great film, and an ingenious film, but only if you've the stomach for it."", ""Any film that relies on one actor to carry the movie demands a lot of its leading man but James Franco applies a youthful exuberance that makes him so watchable it's all viewers could do not to blink."", ""Franco... delivers a solid performance as the strapping climber who shows his vulnerability when he reflects back on his life--the mistakes he's made and the moments he may miss."", ""It's an incredible performance by Franco, walking the line between what once was enthusiasm but now is manic desperation."", ""As a follow-up to Slumdog Millionaire, 127 Hours shows Danny Boyle at the top of his form -- it's not a story many filmmakers would want to tackle, and few would handle it as well."", 'That director Danny Boyle makes us feel the shock of relief as Ralston finally pulls away from his stony prison signals just how immersive a piece of first-person story-telling this is.', ""Boyle's film takes us back to the campfire for a story that is painful and powerful, as well as true."", 'At its centre is a magnificent performance from James Franco...', 'At the end, we stagger like Ralston from the dark into the light. We might have both our arms left, but our nerves are just as terrorised.', ""Danny Boyle can't help but return, over and over again, to material that's heavy on physical pain, mental paranoia and personal treachery."", 'In taking a Movie of the Week plotline and giving it a technical supercharge, Boyle has restated his case among the front rank of filmmakers.', 'Franco acts his heart and soul out, as Ryan Reynolds did in Buried, a similar one-man agony opera in a confined space.', 'A film that no sane movie exec would ever commission. Fortunately for us, though, there are no sane movie execs.', 'A surprisingly fun, effervescent against-the-odds drama that offers an upbeat moral without the usual punishing survival-story clichs. Not for the faint-hearted, mind.', 'Boyle is such a gifted filmmaker that, in his hands, 127 Hours is genuinely -- and unsentimentally -- inspirational.', 'Boyle has always been an exceptionally stylish director, and, despite its limited setting, 127 Hours is a marvel of visual eye candy.', ""Directed and co-written by Danny Boyle in a style that travels from ecstatic to nerve-wracking and back, this is a film about perseverance, strength and the importance of always letting people know where you're going."", ""Fair warning, oh squeamish ones: 127 Hours does not shy away from (nor does it stint on) Ralston's ultimate method of obtaining egress from his predicament. Which is exactly as it should be."", ""[It] will blow you away -- for its audacity; for James Franco's performance; for the way that, by the end, it leaves you feeling connected to the strangers sitting next to you, and happier to be part of humankind."", ""Shiver-making moments aside, in a important way 127 Hours suffers from the filmmaker's lack of nerve, a reluctance to let the audience taste Ralston's dread and the expectation of a slow, absurd death.""]",both
2010, The Social Network ,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin",0, The Social Network ,the-social-network,"[""In its cold, almost forensic way, this is as tense and exciting as it is absorbing. It's a miracle, really."", 'The Social Network, just like its subject, is the pop culture phenomenon of the new generation.', 'Fincher does, at least, make decent entertainment out of such inherently unprepossessing subjects as computer use and legal hearings.', 'The Social Network is splendid entertainment from a master storyteller, packed with energetic incident and surprising performances.', ""At last, a movie you can actually discuss afterward. And not just on Facebook or Twitter. No, you'll want to chew it over in person, with friends, for hours."", 'Like Zuckerberg, Fincher excels at data management, delivering vast amounts of information with the utmost clarity and speed.', ""It's a shamelessly biased account, as well as a seductively plausible one, although you have to keep your wits about you to get the full effect."", ""In his first venture over to the dark side, the central performance by Jesse Eisenberg is a revelation. It's Oscar-worthy stuff."", ""David Fincher's fast-paced business drama adopts the set-up of his 1999 film Fight Club and inverts it."", ""Despite the fun of the parties, the intrigue of the legal wranglings and the humour of the dialogue, Fincher and Sorkin never let us forget that we're complicit in their story (or at least 500 million of us are)."", ""Business hasn't been this exciting since Gordon Gekko's first outing."", ""A rich, understated character drama that gleefully exposes the petty playground politics at the centre of one of the internet-era's most bitter court cases."", ""The film is almost nothing but scenes of people sitting over glowing screens, or in lawyers' offices, or in bars/diners/clubs. Yet it never seems sedentary. The jabber is intensive."", 'The Social Network is one of the movies for which 2010 will be remembered.', ""The film's real achievement stretches beyond the story. When we've all forgotten Facebook, The Social Network will remind us what it was to be part of the generation of Millenials."", 'A business procedural played with the intensity of a thriller and the ingenuity of a screwball comedy.', ""The movie's lustrous, deep-focus frames and headlong pace are difficult to resist. Its an entertainingly cynical small movie."", ""[Fincher]crafts a document that analyzes who we are now and where we're at in a way no other motion picture up to now has, and for that reason alone that probable makes the film a masterpiece."", 'You will know The Social Network is something very special from its first scene.', ""The Social Network shares creative DNA with a handful of classic, zeitgeist-savvy films like Network and All the President's Men, as well as more recent fare such as The Insider and Michael Clayton.""]",both
2010, Toy Story 3 ,Darla K. Anderson,0, Toy Story 3 ,toy_story_3,"['The ostensibly inanimate objects are far more animated than most movie stars.', ""It takes a kind of genius to combine a children's movie for grown-ups and a grown-up's movie for children in one glittering digimated package, yet the folks at Pixar have done it time and again."", 'Action-wise, this is essentially a prison-break caper, but there is so much more to it than this.', 'When teenaged Andy plops down on the grass to share his old toys with a shy little girl, the film spikes with sadness and layered pleasure -- a concise, deeply wise expression of the ephemeral that feels real and yet utterly transporting.', 'There are many sweet laughs and joking allusions to horror and prison-break movies, but the Pixar gang gets at the most primary fear -- being cast off and no longer of use.', 'I seriously doubt there will be a more hilarious and heartfelt blockbuster all summer.', ""You can intellectualise and even defend the reasons why the film is disappointing, but that doesn't stop it being disappointing."", ""It's still more inventive, clever and laugh-out-loud funny than any other movie out there now."", ""A kids' movie for grown-ups. A grown-up movie for kids. Exactly what you'd expect -- and hope for -- from the latest, and we're guessing final, Woody and Buzz adventure."", 'Comes across at once as a tender, thoughtful valedictory and a symbolic renewal.', ""By [Pixar's] high standards this isn't the best, but by anyone else's, it's close to perfection."", 'I tried stuffing paper into my nose and into my mouth and in my ears to stop the flow. It was hopeless. Toy Story 3 is not only a masterpiece but is the most heart-rending film I have ever seen.', 'The perfect film does not, and cannot, exist. But if it did, it would probably look a lot like this.', ""It's an effortlessly superior family movie."", ""It's a film that moves as much as it entertains, that will make adults cry as much as -- perhaps even more than -- younger children."", ""The 'Toy Story' films are deservedly seen as the gold standard for computer-generated animation..."", 'If there were a Nobel Prize for Digital Animation it would have been won almost every year by Pixar.', ""It's sadder and scarier than its predecessors, but it also may be the most important chapter in the tale."", 'The best movie of the year so far.', ""The 3D animation is quite beautiful, and there's the usual bonus of a Pixar short film before the feature, the clever and enchanting Night and Day.""]",both
2010, True Grit ,"Joel Coen, Ethan Coen, and Scott Rudin",0, True Grit ,true_grit_2010,"[""I thought the film was excellent... [But] Don't skimp on the development of female characters just because the complexities are difficult to represent. We're going to notice."", ""Henry Hathaway's 1969 adaptation was highly faithful... The Coens' movie is less faithful than Hathaway's but stronger - the production, by their regular team, is formally superb - and weirder."", ""Disappointing overall, though entertaining at times, True Grit isn't exactly the Coen brothers best movie but they get an A for effort."", ""With his leisurely growl, somewhere between trail-grizzled and post-nap, Bridges sounds as if he's talking through his collar, in a vocal performance that's entertaining no matter what he's saying."", '', 'Jeff Bridges is rough and rowdy marshal Ruben ""Rooster"" Cogburn, and manages to put his own stamp on the role made famous in 1969 by John Wayne. It\'s no surprise that he knows how to bring a wide palette of colors to this character, and he seems to be...', 'This True Grit is timeless.', ""The Coen brothers' excellent western True Grit is a second and rather different version of Charles Portis's novel, rather than a remake of the 1969 film that brought John Wayne an Oscar as the one-eyed bounty hunter Marshal Rooster Cogburn."", ""True Grit is the third film the Coen brothers have made since the triumph of No Country for Old Men. It's just as characteristic and deserves just as much success."", ""At an uncertain time for heroes in America, there's no wonder it's packing 'em in."", ""It meanders along, convinced of its own idiosyncratic suavity, never venturing out of its makers' comfort zones."", 'This True Grit is a very impressive piece of work, beautifully photographed by Roger Deakins, and if you had never seen the original, it might be getting even higher praise.', 'A series of photogravures formed into an elegant, high-toned flip book.', ""It could be the Coens' most straightforward film, but it's also one of their best."", ""Imagine you heard the Coen brothers had gone and made a straight-up Western. Now imagine Jeff Bridges, Josh Brolin and Matt Damon were in it. As movie news goes, that's on a par with Christina Hendricks signing up for the Piranha 3D sequel."", 'Terrific: tough, exciting, funny, gorgeous and bewitchingly acted, this is darn close to perfection.', ""Steinfeld more than holds her own in this high callibre company, shining in her role, as the Coen's shift the focus of the film on to her character to mirror the original novel's style."", 'Delivers a perfectly fine, character-driven revenge yarn before unaccountably falling into a heap in its final act.', ""Jeff Bridges ain't the Duke, no sir, but the Duke weren't Jeff Bridges, neither."", 'The old-school American western was not dead, it seems. It was just playing possum, waiting for the Coens to come along and rouse it.']",both
2010, Winter's Bone ,Alix Madigan and Anne Rosellini,0, Winter's Bone ,10012136-winters_bone,"[""Debra Granik's bleak little film is as tough, unflinching and fascinating as the characters who eke out a life amid its cold, gray hills."", 'A rewarding, richly detailed exploration of the strength of character required when confronted by ugly truths.', ""The Coen Brothers' O Brother Where Art Thou? was the last film to make such delirious use of mountain music. The rest of the world can start drooling over Lawrence. I'm gonna git me a copy of that soundtrack."", 'The film, adapted by director Debra Granik and Anne Rosellini from the novel by Daniel Woodrell, establishes a formidable tension between mystery and matter-of-factness.', 'There is poetry here -- as artists as diverse as Walker Evans, James Agee and Harry Smith have found -- of the rawest, most desperate kind.', 'It is all given unironic dignity and power due to the outstanding lead performance from 20-year-old Jennifer Lawrence as Ree, a young woman who must take on some scary neighbourhood types to protect her family.', ""Think a film like Trash Humpers offers insight into a crappy life in the poor South? Winter's Bone will make you see the light."", ""A vivid reworking of Daniel Woodrell's novel that brings the book's conflicted heroine to searing life in a piece of unhurried filmmaking too rarely seen these days."", 'Granik balances the pace and intrigue of a mystery thriller with total compassion for Ree, played with much skill by Lawrence.', 'Like a Botoxed face, the movie never shows an interesting wrinkle or passion-attesting lifeline.', ""It's a tight, gripping mystery with a well-chosen supporting cast and countless great little moments, such as a supremely spooky sing-song at a birthday party."", ""It's bleak, slow moving … but in its gradual, aimless way it ratchets up the tension to terrific heights, and its climactic twists come home with the force of a shotgun blast."", ""This unblinking look at America's Red State Crystal Meth Belt is an instant Southern Gothic classic."", ""Winter's Bone is a genuine triumph, a great movie with astounding performances so natural, so genuine, that you forget it's a movie."", ""What we've been waiting for: a work of art that grabs hold and won't let go."", ""With Winter's Bone, Granik has morphed from a director worth watching to one who demands our undivided attention. She's got mine."", 'The result is a film and a character of unusual strength. Pity Ree, question her decisions, wonder about her future. But the girl does not quit.', 'Jennifer Lawrence gives a stirring turn in a gift-of-a-lifetime role.', 'A masterpiece of sparseness.', ""Winter's Bone is the kind of film that should be offered to us more often.""]",both
