Year,Movie Title,movie,formatted_name,top_critics,_merge
2010,The Girl Who Played with Fire ,,,,left_only
2010,The Milk of Sorrow,,,,left_only
2010,45365,,,,left_only
2010,The Bounty Hunter ,The Bounty Hunter ,1220551-bounty_hunter,"['', '', '', '', '', '', '', 'Even considered as no more than an assembly-line Hollywood product, The Bounty Hunter falls well below factory standards.', ""There's so little chemistry between the two, they might as well have cast Mick Fleetwood and Samantha Fox and had done with it."", ""You know it's bad when a caper comedy makes you long for the Goldie Hawn-Chevy Chase showcases of yore..."", 'There cannot be many of these back-of-the-envelope-cutesy ideas for rom-coms left.', ""The romantic pairing of brawny Gerard Butler and wispy Jennifer Aniston is a sight for sore eyes but makes for sore brains long before the end of Andy Tennant's rom-com."", 'The Bounty Hunter marks a new low and a new genre: the bail-bondage rom-com.', 'Averagely routine, routinely average romcom.', ""There'll be worse films released in 2010 -- but not many."", 'Death, taxes, Gerard Butler. Wish them away all you like: still they befall us.', 'The story of a bail enforcer who captures his newspaper-reporter ex-wife manages to be both formulaic and patchwork, with whatever twinkles that exist between the stars eclipsed by the overall crudeness.', ""The film is stuffed with these idiosyncratic micro-roles (I loved Siobhan Fallon Hogan as the bondsman's secretary), which prove more diverting than the two main characters."", 'The latest evidence that, when it comes to romantic combat, we live in a more thoughtlessly brutal age than our ancestors did.', ""At points, the film sinks below the level of competent: A stupid plot trick early on is so badly edited that it takes another minute to figure out what's supposed to be going on.""]",both
2010,Standing Ovation ,Standing Ovation ,standing_ovation_2010,"[""Parents and anyone beyond adolescence will find it an intolerable attempt to cash in by imitating films they've seen before."", 'For us grinchy adults out there without children to sedate, the whole thing feels slightly less like a movie than like the filmed record of a mutiny at a juvie talent agency.', 'Despite its absurdly optimistic title, Standing Ovation deserves a resounding chorus of boos, and maybe a few well-aimed tomatoes.', 'Standing Ovation is an innovative film in the sense that every minute or so it comes up with a different way of being annoying.', ""A glittery string of backstage conventions. Backstabbing! Pushy parents! Precocious stars! Blind ambition! But if you're a tween (and don't watch Glee), the cliches will be new to you."", ""It's a bubblegum mess, lacking structure, coherence,and any sense of drama. But it manages moments of daft fun, sometimes in spite of itself.""]",both
2010,Breath Made Visible,,,,left_only
2010,Sex & Drugs & Rock & Roll ,Sex & Drugs & Rock & Roll ,sex-drugs-rock-roll-2009,"['A cringe-worthy script chock-full of clichés.', 'This hard-nosed drama comes across like one of those BBC4 hatchet jobs on iconic Brits.', ""If only the words I want to use to describe [Andy Serkis'] performance - charismatic, compelling - also applied to the movie around him."", 'Stands up pretty well as a celebration of Dury.', 'The acting generally is first-class, but what holds the film together is the performance of Andy Serkis.', 'Andy Serkis uncoils a performance of spit, grit and wit so ferocious it only serves to starkly clarify how unremarkable and formulaic the rest of the movie is.', ""Serkis is such a live wire that the supporting actors (Olivia Williams, Naomie Harris, Ray Winstone) can do little but stand back in awe. It's the rare instance where such admiration is earned."", 'Still, [Sex & Drugs & Rock & Roll] has a peppy, funny and ultimately inspiring biopic with enjoyable supporting turns including Ray Winstone.', 'Somehow this well-intentioned film cannot help but turn an uncompromisingly original artist into a formula.', ""While it feels slapdash rather than properly punk-collage ragged, Sex & Drugs & Rock & Roll is an honest job, and it makes a good case for including Dury's work and personality in any Brit-culture list of Reasons to be Cheerful."", ""It's an energetic and vivacious film that will appeal to fans of punk rock worldwide and should find its place in the pantheon of great music-film biographies."", ""A strong central performance from Andy Serkis as the late British punk rocker Ian Dury powers Mat Whitecross' directorial debut through a fractured 113 minutes."", ""Paul Viragh's script is too bitty to hold it all together, and filigrees of technique fail to disguise the weaknesses in helmer Mat Whitecross' first solo flight."", ""A sometimes whimsical and magical take on the life of one of Britain's most artistically charged rock stars. Serkis shines in his role as the troubled singer."", ""There are no allusions to the empowering nature of punk that catalyses the tale; and strangest of all, there's not enough made of the funny, funky music that made him filmworthy in the first place. The result, too often, rings like a missed beat."", 'A barnstorming, passionate performance from Andy Serkis brings 1970s music legend Ian Dury stunningly back to life in this gutsy biopic.', ""Enlivened by some strong performances and a convincing emotional core, Sex & Drugs & Rock & Roll is a family melodrama in rock 'n' roll trousers. But man, it knows how to wear them."", ""The movie is a mite overstretched - how much florid anarchy can an audience take at one sitting? - but it makes last month's rock biopic, the Lennonographic Nowhere Boy, seem the essay in decorous torpor it was."", ""What the film tries to project as Dury's loveable irascibility too often just looks like charmlessness."", ""All of this comes to life in the movie thanks to the film-makers' inventiveness, but - even more so - thanks to the performance of Andy Serkis as Dury.""]",both
2010,I Am Love ,,,,left_only
2010,When You're Strange,,,,left_only
2010,Jack Goes Boating,Jack Goes Boating,jack_goes_boating,"[""Can't shake off its stagey roots and lacks any emotional punch."", ""There's an improvisatory air, overlaid with quirky charm but never any bite. Hoffman's performance needs tougher, more focused direction."", ""In places it has the airless feel of an over-workshopped piece, but is rescued by excellent performances: in particular Amy Ryan as Connie, Jack's shy would-be girlfriend."", 'With fine and affecting performances all round, this is an enjoyably old-fashioned ensemble piece and a solid start to a career behind the camera.', ""Take Jack's lead and give this one a miss."", ""Philip Seymour Hoffman puts his oar in with a tender, thoughtful adaption of Robert Glaudini's stage play. A little too measured to deliver an emotional punch, it's nevertheless beautifully acted and at times rather lovely."", '', 'The magnitude of the acting overshadows the modest reach of the material.', ""Hoffman the director can't compete with Hoffman the film's star. And he can pretty much just stand in wonder at the layers co-star Amy Ryan brings to the party. The woman is a natural wonder."", ""The movie's heart and story, both bleeding and mending, and its quartet of characters are hard to abandon -- and easy to care about."", ""Jack's a good guy, and you root for him all the way to the end, but, wistfully, that doesn't make him an any more interesting everyday Joe than he is."", 'It belatedly reveals itself to be a meditation on the different kinds of loneliness, presenting isolation as a form of social stage fright.', ""Jack Goes Boating is extremely well-acted and full of moments I adored, it's just the final product itself that sadly left me cold."", 'Making his feature directing debut, Hoffman shows considerable generosity toward the other players, which was probably a good idea given his own listless performance as the mumbling title character.', 'The adults-acting-badly genre is popular in the art-house scene -- Noah Baumbach perhaps being its king -- but despite its wincing moments, Jack has a much sweeter heart than its darker cousins.', 'A subtle, slow-moving drama of moments and repercussions that works due to the talents of its cast and quality of its source material despite a few notable flaws.', 'Hoffman brings all the methodical excellence that has made him such a force as an actor to his first outing as a director with the tender story of awkward, middle-aged love, betrayal and consequences in Jack Goes Boating.', ""Jack Goes Boating is a successful work of art. To see this movie is to feel that you've lived it."", ""Hoffman's direction is a mixture of skill and showiness. He's attentive to all the actors, but he can't resist cute camera angles and Fellini-esque touches that don't quite fit this story."", ""This is one of those rare movies that genuinely likes its characters and wishes them the best; as agonizing as it can be to watch Jack fumble toward human connection, Hoffman knows the fumbling's the point.""]",both
2011,The Artist ,The Artist ,the_artist,"[""The fiction, ultimately, is the thing. The Artist, in the best possible sense, is more of a movie than a film. It's played for laughs and tears; it switches from action to tenderness; it's got a really funny dog."", 'The Artist is simply a pleasure to watch, if only for just two hours in time.', ""Michel Hazanavicius' black-and-white, mostly silent comedy The Artist is a gorgeously made curiosity -- a film that functions as a testament to its own obsession with other movies."", ""Uplifting, heart-warming, hilarious... not necessarily words you'd expect to apply to a black and white silent French film. But The Artist is no ordinary movie."", 'The Artist is drunk on the history of cinema and art, and culture buffs will get giddy on it.', 'Retro but totally modern, frivolous yet fundamentally serious, The Artist is a thing of grace and joy and a great American film -- of the sort it takes the French to make.', 'Glorious, delicious and an unalloyed joy... I loved it. Loved it, loved it, loved it, loved it, loved it, loved it, loved it.', 'Sometimes cinema should just be pure, unadulterated joy, and The Artist is precisely that, in every wordless frame.', ""Through it all, Dujardin has great dignity, is hugely likeable, and pulls off touches of comic poignancy not far from Chaplin's."", 'The result is an irresistible delight.', 'The whole thing is so damn clever and charming, it might just sneak off with Best Picture.', ""It isn't arty or intellectual, though it is artful and ingenious, and it's the rare crowd-pleaser that never feels obvious or pandering."", ""There is literally nothing wrong with it. I don't have a single nit to pick, minor flaw to point out or little bit that annoyed me. It is pure magic from the first frame to the last."", ""You can't fault it as smart entertainment, which eschews parody to make a sincere tribute that also serves as cogent current commentary."", ""The movie ever fully shakes off its air of skillfully executed experiment, but it's spirited and charming nonetheless."", 'A glorious spectacle that captivates the senses and energizes the mind, The Artist is a full-bodied sensation that had me doing interior cartwheels while I sat in the theatre gluttonously consuming each and every morsel.', '[A] sweet, sincere, massively overrated valentine to silent movies.', 'Simply irresistible.', 'Not just a re-creation of an archaic technique -- the characters are real, vivid, and affecting. The movie transcends its story to be more than a tribute to a simpler time.', ""For a movie that is so much about technique, it's surprising how affecting the story is.""]",both
2011,"Big Mommas: Like Father, Like Son","Big Mommas: Like Father, Like Son",big_mommas_like_father_like_son,"[""Looking back, it's strange to remember that the first two movies were both hits, and that Paul Giamatti and Terrence Howard even saw enough in the premise to sign up for the original. At this point, it's really all just flab."", ""I'm no fan of Perry's blunt-force morality comedies, but at least his pseudo-sainted materfamilias is a real character."", ""It's a true rubber-necker's delight, a comedy so inconceivably tacky that it will make you question whether or not you're laughing at the film or with it."", 'Can there really be a comparative and a superlative for ""unfunny""? It doesn\'t make sense to describe this witless, embarrassing third film in the Big Momma franchise as ""the unfunniest"".', ""An assessment of the film as part of a dissertational examination of Lawrence's contribution to comedic posterity and to African-American cultural history will surely note that the film was not pre-screened for critics in advance."", 'Even Big Momma deserves better than this.', 'It seems fair to point out that of all the cross-dressing comedies of recent decades, none has channeled Some Like It Hot quite so thoroughly.', 'A film so drained of entertainment or simple humanity it is difficult to relate to as anything other than industrial artifact.', 'If Tyler Perry finds liberation in lipstick, Lawrence has become suffocated by Spanx.', ""Lawrence's gender-bending jokes are played out, and his slapstick is wooden and slow. It's understandable: Clowning around underneath that fat suit must be exhausting. Almost as much as watching it."", ""There's little that is fresh and nothing at all inventive about scenes involving the brandishing and firing of guns, the unfunny excesses of a putatively comical car chase, and the repetitious sass and brass of Big Momma's life lessons."", '[This] extraordinarily witless movie operates as a checklist for cultural and racial clichs.', 'Agonisingly slow and laughter-free.', 'This is not a case of doubling the fun so much as an anxious attempt to revive a franchise running out of gas.', 'The airless Matthew Fogel-Don Rhymer script makes one long for the snark and sass of Madea.', ""Among this film's many misdemeanours is pinching the plot of Some Like It Hot."", ""Whoever demanded a third instalment of Lawrence's mirthless mash-up of weak gags and cross-dressing horrors should be imprisoned and forced to watch it on repeat until they repent. Avoid."", 'Quite how this flaccid, one-joke crime-comedy franchise even got off the ground is a mystery.', ""It's amazing really, when you look back at the Big Momma's House film series, how many major crimes can be solved by dressing up as a fat woman.""]",both
2011,Beginners,,,,left_only
2011,The Iron Lady ,The Iron Lady ,the_iron_lady,"['The Iron Lady is a better performance than it is film, although I suspect the performance will carry the day.', ""While the movie tries to cultivate Thatcher's life, it's not perfect. But the chemistry between Broadbent and Streep to elevate an untold romance beautifully elevates the flawed movie."", 'So, as thrilling as it is to watch Streep imitate Thatcher, The Iron Lady feels like a missed opportunity, not to blame and cast aspersions, but to weigh and assess.', '', 'Can a mediocre movie be made worthwhile by a single performance?', '', ""If the idea is to humanise the woman, it's rather wasted. If there's one thing Margaret Thatcher won't be remembered for, it's her humanity."", '', ""What keeps The Iron Lady afloat is the mesmerizing work of its star. As we already know, Streep goes beyond mimicry to fully inhabit her characters, from The French Lieutenant's Woman to Julia Child."", 'Yes, Streep is wondrous as usual, but her superpowers have been squandered here.', 'Often ""The Iron Lady"" relies on montages to get to - and plow through - historic high points.', ""[Streep's] performance overpowers the movie it's in - a perfectly executed triple axel that renders everything else just featureless ice."", ""Streep's performance is so true and so uncannily accurate, so full and so complete in its understanding, that she is fascinating every second she is onscreen."", 'Streep, no fan of Thatcher, nicely undercuts the poignancy of her current condition with flashbacks that reveal her brittle arrogance in office.', 'A performance by Meryl Streep of endless intelligence cannot keep this portrait of Thatcher from being the sentimental nonsense she spent her career trying to avoid.', 'While the rest of ""The Iron Lady"" fades quickly in memory, Meryl Streep\'s performance in the title role remains startlingly present.', ""Everything Streep does here is a seismic act of theater. If she so much as tilts her head, the earth tilts with it. She doesn't simply overwhelm this thin historic biography - and the other actors around her - she detonates it."", ""The portrait that Streep delivers in Phyllida Lloyd's impressionistic biopic is astonishing."", 'Streep is Oscar-worthy here, as she almost always is, which is hardly a surprise, and the historic subject matter is fascinating whichever way your politics may lean.', 'A stylized biography of one of the most powerful women in politics, portrayed by the greatest actress of our time, that asks more questions than it answers.']",both
2011,Phil Ochs: There but for Fortune,,,,left_only
